city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
68,puerto ayora,-0.7393,-90.3518,80.55,91,64,5.01,EC,2024-04-20 13:39:15
69,tamanrasset,22.785,5.5228,76.91,6,0,3.44,DZ,2024-04-20 13:41:07
70,rundu,-17.9333,19.7667,69.17,41,4,6.58,NA,2024-04-20 13:41:07
71,nar'yan-mar,67.6713,53.087,14.11,93,100,21.0,RU,2024-04-20 13:40:08
72,kamina,-8.7386,24.9906,65.8,96,100,2.37,CD,2024-04-20 13:41:08
73,brigantine,39.4101,-74.3646,63.14,64,0,12.66,US,2024-04-20 13:41:08
74,kavieng,-2.5744,150.7967,83.25,69,82,7.9,PG,2024-04-20 13:41:08
75,kintinku,-5.8833,35.2333,70.66,79,78,3.85,TZ,2024-04-20 13:41:08
76,susuman,62.7833,148.1667,7.83,98,98,1.21,RU,2024-04-20 13:39:35
77,blackmans bay,-43.0167,147.3167,45.36,86,47,1.99,AU,2024-04-20 13:39:14
78,jinghong,21.991,100.7341,70.52,52,32,2.51,CN,2024-04-20 13:41:09
79,touros,-5.1989,-35.4608,76.21,94,100,6.38,BR,2024-04-20 13:41:09
80,el burgo de osma,41.5862,-3.0652,48.22,57,10,5.01,ES,2024-04-20 13:41:09
81,port elizabeth,-33.918,25.5701,68.31,94,100,1.99,ZA,2024-04-20 13:39:18
82,kontiolahti,62.7602,29.8471,19.35,93,100,3.44,FI,2024-04-20 13:41:09
83,linhares,-19.3911,-40.0722,73.38,78,34,6.87,BR,2024-04-20 13:41:09
84,babadag,44.9,28.7167,49.87,87,75,13.8,RO,2024-04-20 13:41:10
85,hasaki,35.7333,140.8333,59.4,62,63,11.86,JP,2024-04-20 13:40:09
86,happy valley-goose bay,53.3168,-60.3315,44.91,61,100,21.85,CA,2024-04-20 13:41:10
87,robore,-18.3333,-59.75,90.19,45,26,7.61,BO,2024-04-20 13:41:10
88,brazil,39.5237,-87.125,52.0,42,0,16.11,US,2024-04-20 13:41:10
89,mata-utu,-13.2816,-176.1745,84.22,80,68,19.13,WF,2024-04-20 13:41:11
90,waitangi,-43.9535,-176.5597,55.81,80,100,9.46,NZ,2024-04-20 13:39:07
91,fale old settlement,-9.3852,-171.2468,85.01,74,48,13.56,TK,2024-04-20 13:41:11
92,brixham,50.3943,-3.5159,46.44,75,18,1.99,GB,2024-04-20 13:41:11
93,lamu,-2.2717,40.902,80.94,85,100,16.71,KE,2024-04-20 13:41:11
94,kodiak,57.79,-152.4072,40.51,87,100,10.36,US,2024-04-20 13:39:11
95,kirensk,57.7853,108.1119,28.96,97,100,1.99,RU,2024-04-20 13:40:17
96,west island,-12.1568,96.8225,82.38,83,40,10.36,CC,2024-04-20 13:39:25
97,kone,-21.0595,164.8658,80.55,75,67,4.34,NC,2024-04-20 13:41:12
98,isafjordur,66.0755,-23.124,39.81,94,100,15.05,IS,2024-04-20 13:39:25
99,newman,37.3138,-121.0208,78.15,47,43,5.99,US,2024-04-20 13:41:12
100,ribeira grande,38.5167,-28.7,64.8,88,75,15.99,PT,2024-04-20 13:39:27
101,bubaque,11.2833,-15.8333,78.28,68,85,13.06,GW,2024-04-20 13:41:12
102,solan,30.9167,77.1167,59.36,52,3,5.39,IN,2024-04-20 13:41:13
103,korocha,50.8107,37.1953,54.32,59,98,18.1,RU,2024-04-20 13:41:13
104,aoulef,26.9667,1.0833,87.93,11,100,11.5,DZ,2024-04-20 13:41:13
105,qaqortoq,60.7167,-46.0333,29.93,75,45,1.32,GL,2024-04-20 13:39:28
